URI,name,text
"<http://dbpedia.org/resource/Sophie_Crumb>","Sophie Crumb","sophia violet sophie crumb born september 27 1981 is an americanfrench comics artist she is the daughter of underground comix artists robert crumb and aline kominskycrumbcrumb was born in woodland california and lived in the nearby farming town of winters with her parents until she was nine years old in 1991 she relocated with her family to sauve a village in southern france her parents reported that they wanted to remove her from the political conservatives and christian fundamentalists of the united states in a 2010 interview sophie told the philadelphia inquirer that her mother was afraid sophie would turn into a valley girlit was after this relocation that terry zwigoff released crumb 1994 a critically acclaimed documentary film about sophies father and their family zwigoff later commissioned sophie to prepare some original drawings for inclusion in his 2001 comedydrama ghost world an adaptation of daniel clowes comics serial of the same nameafter completing her secondary education in france crumb studied acrobatics and clowning at a french circus school while living in brooklyn in the mid2000s she sold her comics on the street and apprenticed herself to a tattoo artist at another stage she earned a living by teaching english as a foreign languageshe lives in southern france with her husband a construction worker and their son eli who was born in 2009"
"<http://dbpedia.org/resource/Jenn_Ashworth>","Jenn Ashworth","jenn ashworth is an english writer she was born in 1982 in preston lancashire she has graduated from cambridge university and the manchester centre for new writing she previously worked as a librarian in a mens prisonshe founded the preston writers network later renamed as the central lancs writing hub and worked as its coordinator until it closed in january 2010 she has also taught creative writing at the centre for new writing at the university of manchester and at the university of central lancashireshe currently runs a literature consultancy called the writing smithy with the poet sarah hymas and works as an editor and mentor there she is also a lecturer in creative writing at the department of english and creative writing at the university of lancasterin march 2011 she was featured as one of the bbc culture shows best 12 new novelistsshe has written short stories and her first novel a kind of intimacy was published in february 2009 it is the story of a lonely woman failing to come to grips with reality unable to relate to others and full of selfdeception it contains strong elements of both comedy and tragedy and eventually violence this novel won a betty trask award in 2010two earlier novels are both unpublished one of them was lost as a result of a computer theft in 2004 however an extract from this lost novel was the winner of the 2003 quillercouch prize for creative writing at cambridge universityashworths 2011 novel cold light aims according to her own account to be dark and funny and odd this novel tells the story of three teenage girls one of whom dies with her boyfriend in suspicious circumstances the novel is set on the tenth anniversary of the death when a memorial summerhouse is built and another body is found a third novel the friday gospels published in january 2013 imagines a lancastrian family welcoming their son home from a twoyear mission for the church of jesus christ of latterday saints lds church jenn ashworth was herself brought up as member of the lds church but left the church in her teens"
"<http://dbpedia.org/resource/Jonathan_Hoefler>","Jonathan Hoefler","jonathan hoefler born august 22 1970 is an american typeface designer hoefler pronounced heffler founded the hoefler type foundry in 1989 a type foundry in new york in 1999 hoefler began working with type designer tobias frerejones and from 20052014 the company operated under the name hoefler frerejones until their public splithoefler has designed original typefaces for rolling stone magazine harpers bazaar the new york times magazine sports illustrated and esquire and several institutional clients including the solomon r guggenheim museum and alternative band they might be giants perhaps his bestknown work is the hoefler text family of typefaces designed for apple computer and now appearing as part of the macintosh operating system he also designed the current wordmark of the church of the latterday saintsin 1995 hoefler was named one of the forty most influential designers in america by id magazine and in 2002 the association typographique internationale atypi presented him with its most prestigious award the prix charles peignot for outstanding contributions to type design hoefler and frerejones have been profiled in the new york times time magazine and esquire magazine and appearances on national public radio and cbs sunday morninghoeflers work is part of the cooperhewitt national design museums permanent collection"
"<http://dbpedia.org/resource/Anthony_Gueterbock,_18th_Baron_Berkeley>","Anthony Gueterbock, 18th Baron Berkeley","anthony fitzhardinge gueterbock 18th baron berkeley and baron gueterbock obe ceng mice hon fimeche hon dsc frsa fcit born 20 september 1939 also known as tony berkeley is a british labour politician he is both an english hereditary peer and a life peerafter being educated at eton college gueterbock went up to trinity college cambridge where he graduated ma he then embarked upon a career in civil engineering joining george wimpey plc where he worked as an engineer until 1985 for the next ten years he worked as an engineer for eurotunnel 8595gueterbock inherited his ancestors ancient title of baron berkeley in 1992 succeeding his aunt mary foleyberkeley 17th baroness berkeley berkeley was created a life peer too in 2000 as baron gueterbock of cranford in the london borough of hillingdon so as to remain sitting as a labour peer in the house of lords following the removal of hereditary peers automatic right to seats in parliamentsince lord berkeley first entered the house of lords in 1992 he has held the positions of opposition spokesperson for transport 199697 and opposition whip 199697lord berkeley is the secretary of the all party parliamentary cycling group and has asked many questions in the house of lords on transport matters including about bicycles on trains berkeley has also tabled questions about police conduct with regards to civil liberties he has also questioned restrictions on peers being entitled to bring guests into the house of lordshe is chairman of the rail freight group the industry representative body of the rail freight sector and a board member of the european rail freight association he is also a trustee of plymouth marine laboratory he lives in polruan cornwalllord berkeley is president of the uk maritime pilots association and a harbour commissioner of the port of fowey"
"<http://dbpedia.org/resource/David_Chernushenko>","David Chernushenko","david chernushenko born june 1963 in calgary alberta is a politician professional speaker sustainability consultant and documentary filmmaker in ontario canada he was elected to ottawa city council in the 2010 municipal election and is running for reelection in 2014 he is the former senior deputy to the leader of the green party of canada and a former leadership contestant for that partya graduate of queens university political science and alumnus of cambridge university international relations chernushenko has worked for the canadian international development agency cida the canadian department of foreign affairs and international trade dfait and the united nations environment programme he has served on committees and boards of local housing and environment groups schools and health advisory bodieschernushenko is a green building professional accredited by the leed leadership in energy and environmental design certification program as owner of the consulting firm green gold inc since 1998 he has advised public private and nonprofit organizations on adopting more sustainable and socially responsible practicesfrom 1998 to 2004 chernushenko served on the international olympic committees commission on sport and the environment he has written several books on sustainable management practices including sustainable sport management unep 2001 and greening our games running sports events facilities that wont cost the earth centurion 1994 and the electronic publication greening campuses and their communities iisdacccunep 1996 in 2001 he cofounded clean air champions a national charity that engages athletes in raising awareness about air pollution climate change and the benefits of physical activity in canada he is a director of the sustainable ottawa energy cooperativehe was the green party candidate for ottawa centre in the 2004 federal election he finished fourth with 4730 votes 8 receiving more votes than any other green candidate in ottawa he ran again in ottawa centre in the 2006 federal election and again came fourth losing to paul dewar from the new democratic party ndp chernushenko received 6766 votes 102 the highest vote count of any green party candidate in canada the 2006 election he passed the 10 threshold thus becoming eligible for partial government reimbursement of campaign expenditures chernushenko was endorsed by the ottawa citizen newspaper in both the 2004 and 2006 elections he also ran as the green party candidate in ottawa south in the 2003 ontario general electionon november 10 2006 prime minister stephen harper appointed chernushenko to canadas national round table on the environment and the economy a nonpartisan panel that advises the federal government on environmental policy and works to promote the integrated pursuit of excellence in environmental social and economic practices in canadas public private and civil society sectors chernushenko served as a member on the nrtee from 2006 to 2009 and served as vicechair in 20082009chernushenko resigned as deputy leader of the green party in july 2007 in order to devote more time to his international consulting business and the nrtee and to make documentary films since then he has launched the living lightly multimedia project and produced three documentaries titled be the change 2008 powerful energy for everyone 2010 and bike city great city 2013chernushenko ran as city councillor for capital ward in the 2010 ottawa municipal election he won with 4134 of the vote he is running for reelection in 2014"
"<http://dbpedia.org/resource/Joerg_Steineck>","Joerg Steineck","joerg steineck is a german filmmaker editor and graphic designerartist who is based in berlinduring his study of film and design he produced a few short documentaries and fictional films in his films he often explores subcultures such as underground music genres and people who exist parallel to or on the edge of societyhe seeks to tell common but nevertheless extraordinary stories and generate unique audiovisual atmospheres steineck also works as a graphic artist and illustrator in his 84minute feature documentary truckfighters he combines creative elements to tell the story about a common swedish rock band in a most unconventional way truckfighters fuzzomentary attracted media attention due to guest appearances of well known musicians and bands including josh homme and fu manchu the release of his music documentary lo sound desert is set for 2012 trailers for this film are available on the internet since 2006 and have attracted attention of fans of the musical genre desert or stoner rock which is also a main topic in truckfighters steineck started his creative development with drawing painting and photographing during his childhood he shot his first film in the age of thirteen with a friends vhs camera steineck also contributes musical content from time to time to his electronic music project the gap influence"
"<http://dbpedia.org/resource/Andrew_Pinsent>","Andrew Pinsent","fr andrew pinsent born 19 august 1966 is research director of the ian ramsey centre for science and religion at oxford university a member of the theology faculty a research fellow of harris manchester college and a catholic priest of the diocese of arundel and brighton in england a focus of his present research is the application of insights from autism and social cognition to secondperson accounts of moral perception and character formation his previous scientific research contributed to the delphi experiment at cern and he is a coauthor of thirtyone publications of the collaborationfr pinsent has a first class degree in physics and a dphil in high energy physics from merton college oxford three degrees in philosophy and theology from the pontifical gregorian university in rome and a further phd in philosophy from saint louis university he is also a member of the united kingdom institute of physics and a tutor of the maryvale institute in birmingham he has been interviewed for various media including the bbc and ewtn on issues of science and faith he has also written for the catholic herald who identified him as a prominent young catholic his most recent book is the secondperson perspective in aquinass ethics virtues and gifts routledge 2012 besides academic publications he is a coauthor of the evangelium catechetical course and the credo apologia and lumen pocket books"
"<http://dbpedia.org/resource/Paddy_Dunne_(Gaelic_footballer)>","Paddy Dunne (Gaelic footballer)","paddy dunne was a gaelic football player from park in county laoishe played for many years on the laois senior football team in the centre half back position and was widely regarded as one of the outstanding players in ireland of the 1950swith his club park he was captain as they won two laois senior football championship titles in 1952 and 1953called up the laois team in 1949 following outstanding performances for his club park paddy was centre back on the laois team who were narrowly beaten by meath in the 1951 leinster football final he would still be there in his famous no 6 jersey when laois suffered another agonising defeat in the 1959 leinster football finalhe also played for his province leinster winning three consecutive railway cup medals in 1952 1953 and 1954 all on the field of play only one other laois player colm browne has managed to emulate this featdunne played for the rest of ireland xv in 1953 and 1954 he retired from all football following the 59 leinster final due to a recurring back problema lasting tribute to dunnes greatness in the famous blue white jersey was his selection at centre half back on the laois team of the millennium which was selected a few years backin 2008 dunne was selected to be inducted into the laois gaa hall of fame"
"<http://dbpedia.org/resource/Alexandros_Mouzas>","Alexandros Mouzas","alexandros mouzas born 1962 is a greek composer he studied composition with theodore antoniou advanced theory with haris xanthoudakis and electronic music with dimitris kamarotos he has composed for various ensembles and has received commissions from organizations and orchestrashe has collaborated with the choreographer konstantinos michos and the lathos kinissi dance group in many productions among them trisha never left home days of vironas papageno and calamity till the dawn and with airesis dance companyhis professional activities include imagerelated music he has written original music for short films television series documentaries and commercials for most of the greek television channelshe was the artistic director of the greek section of the european programme new media edge project 2003in 2004 he composed under commission by the athens 2004 organizing committee original music for the athens olympic games corporate videos his recent professional activities include production management of various important cd releases of greek orchestral music he is the manager and founding member of the ergon ensemblehe runs his own production company anax cultural projects he teaches music technology and film music at top schools in athenssince 1998 he has been a member of the board of directors of the greek composers unionnaxos music label released the cd with orchestral works titled music for an imaginary film performed by the sofia philharmonic orchestra"
"<http://dbpedia.org/resource/John_Angus_Campbell>","John Angus Campbell","john angus campbell born march 10 1942 in portland oregon usa is a retired american professor of rhetoric and is a fellow of the center for science and culture a branch of the discovery institute a conservative christian think tank and of the international society for complexity information and design a professional society dedicated to the promotion of intelligent designcampbell served as an assistant and associate professor of communications at the university of washington from 19681995 and as a professor of communications at the university of memphis from 1995 until his retirement in 2005 together with stephen c meyer who is also a fellow of the center for science and culture he edited darwinism design and public education a collection of articles from the journal rhetoric and public affairscampbell was slated to appear as a witness for the defense in the kitzmiller v dover area school district trial but withdrew on june 2 2005 the day of his scheduled depositionin 2007 campbell ran for a seat on the school board in north mason county washington he offered his services to restore trust and establish transparency but did not disclose his links to intelligent design in a telephone interview he stated that he would not be dealing with curricula and that he is a darwinist who considers that debating darwin can engage the interest of students and improve their skills in critical thinking he was quoted as saying rather than demonizing people that believe in id i think there are ways people could use their ideas to study darwinism more closely the election was held on november 6 2007 and the unofficial results showed john campbell defeating the incumbent glenn landram by 2996 votes 6806 to 1406 3194 he currently serves on the schoolboard"
"<http://dbpedia.org/resource/Chris_Batstone>","Chris Batstone","chris batstone was the 20002002 lead singer of the thirdwave ska band suburban legends he joined the band in 2000 as the replacement for tim maurer who had left the band after the recording of origin edition chris first and only official recording with the band was on their first ep suburban legends released in 2001 chris has credits for cowriting the song i want more and desperate found on the ephe left the band in early 2002 reportedly he became increasingly dissatisfied with the direction the band was taking and decided to pursue other musical directions and an acting careerhe was replaced by tim maurer who rejoined the band in 2002 as the lead singer the band then rerecorded the vocal tracks on their selftitled ep with tim to create suburban legends tim remixchris batstone also recorded songs with the band on various compilations he can be found singing all the nights on supporting the scene compilation gummi bears on because we care a benefit for the childrens hospital of orange county compilation he produced and performed on suburban legends cover of rose tint my world singing along with aaron bertram dallas cook and vince walker on an unreleased tribute albumchris can also be seen in the video for i want more"
"<http://dbpedia.org/resource/Ceiron_Thomas>","Ceiron Thomas","ceiron thomas born 23 october 1983 is a welsh rugby union footballer currently playing for st ives rfc after signing from the cornish pirates in june 2012 his previous clubs are leeds carnegie and the scarlets his regular position is at flyhalf though he is often played at fullbackthomas began his rugby career with the llanellibased scarlets and made his debut for the region in 2003 when he played in a friendly against the slovenia national team llanelli won the game 950 scoring 14 tries with thomas converting eleven of them he also scored one penalty bringing his points total for the game to 25 in the 200304 season thomas made five appearances for llanelli including three in the 200304 celtic leaguehowever thomas did not play for the regional side again until april 2005 almost 18 months after his last appearance he made three more appearances in the 200405 season before falling out of favour and not making another appearance until april 2006 again he only made two more appearances in the 200506 season but managed to hold down a place in the side for the 200607 magners league sharing duties at fullback with barry davies and morgan stoddart he made 25 appearances that season and scored 110 pointsthomas began the 200708 magners league as the scarlets starting flyhalf while regular number 10 stephen jones was on wales duty at the 2007 rugby world cup in france but lost the berth to rival flyhalf rhys priestland before jones return in the 200809 magners league thomas spent much of his time on the bench playing secondfiddle to jones and priestland at flyhalf and the majority of his playing time was spent in other positions including two starts on the wing in december 2008 thomas only made six appearances for the scarlets in 2009 resulting in a transfer to leeds carnegie in june 2009"
"<http://dbpedia.org/resource/Adel_Sellimi>","Adel Sellimi","adel sellimi arabic was born on 16 november 1972 in the bab jedid district of tunis as a child he drew inspiration from the 1978 world cup team who became the first african nation to win a world cup match at the age of 10 he joined his first club club africain of tunis and he stayed there for the next 14 years picking up two tunisian league titles and one tunisia cup along the wayhis quick pace strength on the ball and creativity earned him a callup to the national team and he earned his first cap in september 1993 during a match against germany following a promising performance he carved out a virtually permanent place for himself in the countrys national team for the next eleven yearstunisians grew to appreciate his discretion in life outside football as a modest and determined professional on the pitch he singularly distinguished himself at international level during the 1996 african cup of nations finals in south africa as one of the best players of the tournament sellimi became a household name throughout the country a skillful and talented bright spark who carried the team to the final of the tournament for the second time in their history sellimi struck twice in the semifinal against zambia and was widely considered one of the best players in the tournamentthis movement into the limelight earned the player a transfer to french ligue 1 side fc nantes atlantique following another impressive showing at the 1996 olympic games in atlanta but his move to france marked the start of a long barren period although the nantes fans dubbed him the lung on account of the distance he clocked up during matches he never really settled in at his new club he hit just two goals in 30 appearances in his first season and failed to achieve the kind of success he had enjoyed back home in tunisia after another disappointing season in 199798 sellimi left nantes for spanish second division side real jan it was here that he got some firstclass matches under his belt and finally found form this surge in form earned him a callup to the 1998 world cup squad where he put in steady performances against england and romaniabundesliga side freiburg took a gamble on sellimi and partnered the player with other tunisian internationals anchorman zoubeir baya and fellow striker mehdi benslimane but here too he took a long time finding his true form and many at freiburg considered him a mistaken purchase during his first year however he proved his detractors wrong in the best possible way in the 19992000 season sellimi just could not stop scoring goals and even headed the bundesligas goalscoring list going into the winter breaka disappointing 2001 lead to sellimi missing out on the 2002 african cup of nations in mali and a number of international friendlies after a fallout with former national coach henri michel but the frenchmans replacement with ammar souayah coupled with the national teams goal drought brought about his recall the 2002 world cup in korea and japan turned out to be adel sellimis swansong in premier football competitions and he retired from international football shortly after the tournament at the age of 31 he returned to club africain shortly afterwards and is now head coach of jendouba sport in tunisia recently gaining promotion to ligue 1"
